#country_code,is_independent,sovereign_country_code
AD,true,
AE,true,
AF,true,
AG,true,
AI,false,GB
AL,true,
AM,true,
AO,true,
AQ,false,
AR,true,
AS,false,US
AT,true,
AU,true,
AW,false,NL
AX,false,FI
AZ,true,
BA,true,
BB,true,
BD,true,
BE,true,
BF,true,
BG,true,
BH,true,
BI,true,
BJ,true,
BL,false,FR
BM,false,GB
BN,true,
BO,true,
BQ,false,NL
BR,true,
BS,true,
BT,true,
BV,false,NO
BW,true,
BY,true,
BZ,true,
CA,true,
CC,false,AU
CD,true,
CF,true,
CG,true,
CH,true,
CI,true,
CK,false,NZ
CL,true,
CM,true,
CN,true,
CO,true,
CR,true,
CU,true,
CV,true,
CW,false,NL
CX,false,AU
CY,true,
CZ,true,
DE,true,
DJ,true,
DK,true,
DM,true,
DO,true,
DZ,true,
EC,true,
EE,true,
EG,true,
EH,false,MA
ER,true,
ES,true,
ET,true,
FI,true,
FJ,true,
FK,false,GB
FM,true,
FO,false,DK
FR,true,
GA,true,
GB,true,
GD,true,
GE,true,
GF,false,FR
GG,false,GB
GH,true,
GI,false,GB
GL,false,DK
GM,true,
GN,true,
GP,false,FR
GQ,true,
GR,true,
GS,false,GB
GT,true,
GU,false,US
GW,true,
GY,true,
HK,false,CN
HM,false,AU
HN,true,
HR,true,
HT,true,
HU,true,
ID,true,
IE,true,
IL,true,
IM,false,GB
IN,true,
IO,false,GB
IQ,true,
IR,true,
IS,true,
IT,true,
JE,false,GB
JM,true,
JO,true,
JP,true,
KE,true,
KG,true,
KH,true,
KI,true,
KM,true,
KN,true,
KP,true,
KR,true,
KW,true,
KY,false,GB
KZ,true,
LA,true,
LB,true,
LC,true,
LI,true,
LK,true,
LR,true,
LS,true,
LT,true,
LU,true,
LV,true,
LY,true,
MA,true,
MC,true,
MD,true,
ME,true,
MF,false,FR
MG,true,
MH,true,
MK,true,
ML,true,
MM,true,
MN,true,
MO,false,CN
MP,false,US
MQ,false,FR
MR,true,
MS,false,GB
MT,true,
MU,true,
MV,true,
MW,true,
MX,true,
MY,true,
MZ,true,
NA,true,
NC,false,FR
NE,true,
NF,false,AU
NG,true,
NI,true,
NL,true,
NO,true,
NP,true,
NR,true,
NU,false,NZ
NZ,true,
OM,true,
PA,true,
PE,true,
PF,false,FR
PG,true,
PH,true,
PK,true,
PL,true,
PM,false,FR
PN,false,GB
PR,false,US
PS,false,IL
PT,true,
PW,true,
PY,true,
QA,true,
RE,false,FR
RO,true,
RS,true,
RU,true,
RW,true,
SA,true,
SB,true,
SC,true,
SD,true,
SE,true,
SG,true,
SH,false,GB
SI,true,
SJ,false,NO
SK,true,
SL,true,
SM,true,
SN,true,
SO,true,
SR,true,
SS,true,
ST,true,
SV,true,
SX,false,NL
SY,true,
SZ,true,
TC,false,GB
TD,true,
TF,false,FR
TG,true,
TH,true,
TJ,true,
TK,false,NZ
TL,true,
TM,true,
TN,true,
TO,true,
TR,true,
TT,true,
TV,true,
TW,false,
TZ,true,
UA,true,
UG,true,
UM,false,US
US,true,
UY,true,
UZ,true,
VA,true,
VC,true,
VE,true,
VG,false,GB
VI,false,US
VN,true,
VU,true,
WF,false,FR
WS,true,
YE,true,
YT,false,FR
ZA,true,
ZM,true,
ZW,true,
